"product_type","air_temperature_k","process_temperature_k","rotational_speed_rpm","torque_nm","tool_wear_min"
"M","298.1","308.6","1551","42.8","0"
"L","298.2","308.7","1408","46.3","3"
"L","298.1","308.5","1498","49.4","5"
"L","298.2","308.6","1433","39.5","7"
"L","298.2","308.7","1408","40.0","9"
"M","298.1","308.6","1425","41.9","11"
"L","298.1","308.6","1558","42.4","14"
"L","298.1","308.6","1527","40.2","16"
"M","298.3","308.7","1667","28.6","18"
"M","298.5","309","1741","28.0","21"
"H","298.4","308.9","1782","23.9","24"
"H","298.6","309.1","1423","44.3","29"
"M","298.6","309.1","1339","51.1","34"
"M","298.6","309.2","1742","30.0","37"
"L","298.6","309.2","2035","19.6","40"
"L","298.6","309.2","1542","48.4","42"
"M","298.6","309.2","1311","46.6","44"
"M","298.7","309.2","1410","45.6","47"
"H","298.8","309.2","1306","54.5","50"
"M","298.9","309.3","1632","32.5","55"
"H","298.9","309.3","1375","42.7","58"
"L","298.8","309.3","1450","44.8","63"
"M","298.9","309.3","1581","30.7","65"
"L","299.0","309.4","1758","25.7","68"
"M","299.0","309.4","1561","37.3","70"
"L","299.0","309.5","1861","23.3","73"
"L","299.1","309.5","1512","39.0","75"
"H","299.1","309.4","1811","24.6","77"
"L","299.1","309.4","1439","44.2","82"
"L","299.0","309.4","1693","30.1","84"
"M","299.1","309.5","1339","48.2","86"
"L","299.0","309.4","1798","25.5","89"
"L","299.0","309.4","1419","48.3","91"
"L","298.9","309.3","1665","32.5","93"
"M","298.8","309.1","1559","34.7","95"
"M","298.8","309.2","1452","48.6","98"
"M","298.9","309.2","1581","36.7","101"
"L","298.8","309.1","1439","39.2","104"
"H","298.9","309.2","1379","50.7","106"
"L","298.8","309.1","1350","52.5","111"
"L","298.8","309.1","1362","45.4","113"
"L","298.8","309.1","1368","50.8","115"
"M","298.8","309.1","1368","49.1","117"
"H","298.8","309.2","1372","48.5","120"
"M","298.8","309.1","1472","47.5","125"
"L","298.8","309.1","1489","49.1","128"
"M","298.7","309","1843","25.8","130"
"L","298.8","309.1","1418","46.3","133"
"H","298.8","309.2","1425","53.9","135"
"M","298.9","309.2","1412","44.1","140"
"L","298.9","309.1","2861","4.6","143"
"L","298.9","309.1","1383","54.9","145"
"H","298.8","309","1497","43.8","147"
"L","298.7","309","1565","35.1","152"
"L","298.7","309","1691","30.1","154"
"L","298.8","309.1","1512","40.7","156"
"L","298.8","309.1","1477","42.4","158"
"L","298.8","309.1","1513","40.3","160"
"M","298.8","309","1661","29.5","162"
"L","298.8","309.1","1378","54.4","165"
"L","298.8","309.1","1393","52.6","167"
"M","298.8","309","1592","38.2","169"
"L","298.8","309","1829","22.9","172"
"M","298.9","309","1812","25.9","174"
"L","299.0","309.1","1523","38.6","177"
"L","299.0","309.1","1394","45.1","179"
"M","298.9","308.9","1679","28.7","181"
"H","298.8","308.9","1466","44.1","184"
"L","298.8","308.9","1527","32.4","189"
"L","298.9","309","1410","65.7","191"
"M","298.9","309","1924","22.6","193"
"L","298.9","309.1","1452","45.5","196"
"L","298.9","309.1","1369","44.4","198"
"L","299.0","309.1","1592","35.0","200"
"L","298.9","309","1601","32.3","202"
"L","298.8","308.9","1379","46.7","204"
"L","298.8","308.9","1461","47.9","206"
"L","298.8","308.9","1455","41.3","208"
"L","298.8","308.9","1398","51.5","0"
"L","298.8","308.9","1402","37.9","2"
"H","298.8","308.8","1445","49.9","4"
"L","298.9","308.9","1450","47.5","9"
"L","298.9","308.9","1453","40.8","11"
"L","299.0","309","1469","40.1","13"
"L","298.9","308.9","1422","47.6","15"
"M","299.0","309","1804","26.8","17"
"H","299.0","309","1436","43.9","20"
"L","299.0","309","1544","31.8","25"
"M","299.0","309","1419","45.2","27"
"M","298.9","308.9","1487","39.5","30"
"L","298.9","308.9","1753","25.8","33"
"L","298.9","308.9","1830","24.9","35"
"M","298.9","308.9","1727","27.1","37"
"L","299.1","309","1450","43.0","40"
"L","299.0","308.9","1622","31.9","42"
"M","299.0","309","1351","52.2","44"
"M","299.0","309","1575","35.3","47"
"M","298.9","308.9","1750","29.9","50"
"L","298.9","308.8","1529","32.7","53"
"L","298.8","308.8","1523","44.4","55"
"L","298.8","308.9","1852","25.0","57"
"L","298.8","308.8","1991","20.7","59"
"L","298.8","308.8","1555","40.6","61"
"M","298.8","308.8","1441","40.5","63"
"L","298.8","308.7","1450","43.4","66"
"L","298.8","308.7","1591","31.1","68"
"L","298.8","308.7","1445","48.5","70"
"M","298.8","308.8","1497","46.8","72"
"H","298.9","308.8","1621","32.7","75"
"L","298.9","308.7","1572","34.1","80"
"L","298.8","308.6","1872","22.5","82"
"H","298.7","308.6","1499","43.5","84"
"M","298.8","308.7","1498","39.5","89"
"M","298.8","308.6","1486","41.9","92"
"L","298.8","308.6","1680","29.4","95"
"L","298.8","308.6","1431","45.7","97"
"L","298.9","308.7","1564","34.1","99"
"L","298.8","308.6","1599","33.0","101"
"M","298.8","308.6","1707","28.1","103"
"L","298.7","308.5","1467","40.7","106"
"L","298.9","308.7","1433","44.7","108"
"L","298.9","308.7","1558","41.2","110"
"L","299.0","308.8","1310","50.7","112"
"L","298.9","308.7","1546","43.4","114"
"L","298.9","308.7","1727","29.4","116"
"L","298.9","308.6","1560","32.2","118"
"L","299.0","308.6","1329","60.5","120"
"L","298.9","308.6","1413","46.5","122"
"L","299.0","308.6","1587","38.6","124"
"L","298.9","308.5","1559","34.3","126"
"L","298.8","308.4","1473","41.1","128"
"L","298.8","308.4","1737","27.7","130"
"M","298.7","308.4","1441","43.2","132"
"M","298.7","308.4","1430","49.6","135"
"L","298.8","308.4","1369","53.0","138"
"M","298.8","308.5","1711","28.5","140"
"H","298.7","308.5","1420","45.7","143"
"L","298.7","308.6","1297","55.3","148"
"H","298.8","308.6","1449","49.4","150"
"L","298.8","308.6","1268","55.8","155"
"L","298.8","308.6","1511","36.1","157"
"L","298.7","308.5","1544","35.2","159"
"M","298.6","308.4","1778","28.2","161"
"H","298.6","308.4","1407","50.5","164"
"M","298.6","308.4","1391","42.4","169"
"L","298.5","308.4","1513","33.6","172"
"H","298.5","308.4","1612","36.1","174"
"L","298.4","308.4","1515","40.1","179"
"M","298.3","308.3","1379","48.0","181"
"L","298.4","308.3","1473","39.9","184"
"L","298.4","308.3","1422","42.7","186"
"M","298.4","308.2","1463","37.6","188"
"M","298.4","308.2","1584","41.0","191"
"L","298.4","308.2","1850","27.0","194"
"L","298.4","308.2","1528","36.2","196"
"H","298.4","308.2","1987","19.8","198"
"M","298.4","308.1","1495","46.0","203"
"H","298.4","308.2","1478","43.5","206"
"M","298.4","308.2","1499","40.0","211"
"L","298.4","308.2","1471","47.0","214"
"L","298.4","308.2","1282","60.7","216"
"L","298.3","308.1","1412","52.3","218"
"L","298.3","308.1","1586","35.5","0"
"M","298.4","308.2","1468","43.8","2"
"M","298.5","308.3","1440","43.6","5"
"L","298.5","308.4","1733","26.0","8"
"H","298.4","308.2","1612","32.6","10"
"H","298.4","308.3","1458","42.9","15"
"L","298.4","308.3","1433","62.3","20"
"L","298.4","308.3","1318","59.1","22"
"M","298.4","308.2","1610","35.0","24"
"L","298.2","308.1","1462","50.8","27"
"M","298.1","308","1924","20.8","29"
"M","298.2","308","1591","33.7","32"
"L","298.2","308.1","1306","58.3","35"
"L","298.2","308.1","1382","43.5","37"
"L","298.2","308.1","1618","34.7","39"
"L","298.2","308.2","1988","21.4","41"
"L","298.2","308.2","1436","50.2","43"
"L","298.2","308.3","1304","49.8","45"
"L","298.2","308.3","1475","49.9","47"
"H","298.2","308.3","1824","24.2","49"
"M","298.1","308.2","1342","48.1","54"
"L","298.1","308.2","1485","40.7","57"
"L","298.2","308.2","1667","30.6","59"
"L","298.2","308.2","1446","38.2","61"
"L","298.1","308.3","1301","56.0","63"
"L","298.2","308.4","1379","43.1","65"
"L","298.3","308.5","1606","33.6","67"
"M","298.3","308.4","1539","43.4","69"
"L","298.2","308.4","1477","49.9","72"
"L","298.2","308.4","1666","34.6","74"
"H","298.2","308.4","1398","51.8","76"
"H","298.2","308.4","1678","34.6","81"
"M","298.2","308.5","2678","10.7","86"
